epoch,train_loss,val_loss,train_aupr,val_aupr,train_auroc,val_auroc,lr
1,0.0033244969229428265,0.0039333282729690985,0.02453381989924866,0.005532679460278227,0.853945249953546,0.6624522022292385,0.001
2,0.002940034919566945,0.0038595241278194647,0.027463397135309223,0.006406750129412492,0.8646989950487203,0.6569447864869415,0.001
3,0.0028313423765659873,0.0036595722364565673,0.03267550009102264,0.006645264881428133,0.8712661657180523,0.7006612269228464,0.001
4,0.002777305773887198,0.0036279431888396716,0.0341133763907032,0.007598364898511227,0.874940243495113,0.7036163442200147,0.001
5,0.0027438340475725072,0.003613633730582647,0.04006926630535044,0.006542008535578325,0.8770580238460988,0.7211569370731685,0.001
6,0.0027166565718089023,0.0036466870956110013,0.03930511774327719,0.006177658596081695,0.8789467162374925,0.7144121199883806,0.001
7,0.0027053367611850157,0.0036810762563422752,0.04399930507704123,0.007285765800248101,0.8821746898850673,0.6884207444596169,0.001
8,0.0026907912353616808,0.003670177101439808,0.043728376876505846,0.0066748360130282364,0.885700980990241,0.6998930338077919,0.001
9,0.00267564895112357,0.003616101764463822,0.04775628280699342,0.0073504428455448394,0.8863064240608565,0.705170576067198,0.001
10,0.002664999255725199,0.0036527811953683356,0.04613364197089486,0.00692024871398935,0.8893064411059045,0.6991371195884641,0.001
11,0.0026515093015531035,0.003629014520669863,0.0446348012102135,0.006628712098613437,0.8876023310884069,0.7076517968968836,0.0005
12,0.002594791990279696,0.003682045808538297,0.05488463449531092,0.006901286776443308,0.8959578201180065,0.6962999821496929,0.0005
13,0.002590316815315957,0.0037491802001697987,0.05547806723196226,0.006429561022176408,0.896127484943775,0.6848528621025425,0.0005
14,0.002573360491133286,0.0036824363806282536,0.05939421911017101,0.007246367215034793,0.8984023007541708,0.7063122554173669,0.0005
15,0.002576462009628062,0.0037031759136578477,0.05586810635294403,0.006538923118008156,0.8975074859840889,0.6934305122697574,0.0005
16,0.0025616666899328164,0.0036905919022596325,0.06203183747221787,0.007419715799292381,0.9000126062292187,0.6967942568579608,0.0005
17,0.0025661649750658997,0.0037078761719291802,0.061676186816219294,0.007021137890638917,0.901722442495108,0.7094559124796822,0.00025
18,0.0025335669609353297,0.003703086959507778,0.06701350929256207,0.007402764226337195,0.9045020469750226,0.7129033400782658,0.00025
19,0.002518530956276903,0.0036918099021814813,0.0701049078539852,0.0072246485281936895,0.9055374343291541,0.7006769331583529,0.00025
