epoch,train_loss,val_loss,train_aupr,val_aupr,train_auroc,val_auroc,lr
1,0.00313700002467536,0.005450644197124235,0.012989296967004522,0.01011926519707906,0.8442318734488305,0.7558947465020444,0.001
2,0.0027247571817337612,0.005307090514102188,0.015515778409577572,0.012165267676656159,0.8580985798798348,0.7789158423506752,0.001
3,0.0026270214837725717,0.005312661714590668,0.0198612617730196,0.013615003104580666,0.8666045273012901,0.7694881752896195,0.001
4,0.00256147067546177,0.005151273741350972,0.020485935210261725,0.017276869784319384,0.8718060229718068,0.7929965947402151,0.001
5,0.0025343214100849256,0.005327663950635812,0.025591424686130078,0.017134510133848157,0.8751925388300614,0.7737286991776214,0.001
6,0.0025133827606767956,0.005171276204565515,0.027949857575688606,0.01562820000586982,0.8797711932924683,0.7791985815279039,0.001
7,0.002501500376650441,0.005095173905299863,0.027287567631707556,0.018947154481617583,0.882193156190423,0.7685649773984656,0.001
8,0.002489303176732055,0.005560230108444811,0.029260029729415264,0.014385269413270153,0.8803929913404939,0.7559570137829554,0.001
9,0.0024727936384155683,0.005391643171742395,0.030996987305664175,0.01992081979204127,0.8856288553062928,0.7635611714828755,0.001
10,0.0024615209031558687,0.0052760034204403635,0.032538162932877764,0.01869386158633554,0.888577644046439,0.7573661684927546,0.001
11,0.0024534670289362392,0.005555773202073308,0.03330646370367787,0.01716385357720219,0.8896205907346426,0.7472415250091564,0.001
12,0.0024500202137863495,0.005475610361294955,0.035872668437157744,0.01502309999886244,0.8885819918058149,0.7511366204418998,0.001
13,0.0024468546610804795,0.005383841154467472,0.0360135239559783,0.014777469039377102,0.8912168656612424,0.751592962145155,0.0005
14,0.0023939636634288074,0.005521115567638406,0.03944175205394278,0.015307101398995545,0.894557449837514,0.7440527508537893,0.0005
15,0.0023938387977731033,0.005377541004310889,0.04276914487787049,0.01880199828068226,0.8977825086519103,0.7542468909495181,0.0005
16,0.0023817979046011255,0.005427446060055646,0.04250220570316258,0.01777076735935244,0.8976607934373955,0.7485670301430859,0.0005
17,0.002367946822423554,0.005511987799975934,0.043881755156271234,0.019647297671503604,0.8996128282414602,0.7506525941770028,0.0005
18,0.002365187624887576,0.005633730263241498,0.042862287370455714,0.01237351420457451,0.8976376138572003,0.738120448269574,0.0005
19,0.0023633588349882997,0.005711620371800092,0.04561536540092595,0.013261388705847667,0.9021170660401753,0.7359217845773911,0.00025
20,0.0023416837856277506,0.005732163674627177,0.05014564259030682,0.015894799919371864,0.903678269050781,0.7344902673431053,0.00025
21,0.002340358410077238,0.00550746971547395,0.04986423440960263,0.019084215285645915,0.9038988721256305,0.7488286262678169,0.00025
22,0.002320171399115266,0.005666595291533302,0.051357300453434424,0.015611230750467057,0.9057746115941493,0.7333946199416748,0.00025
23,0.0023244594043252266,0.005557911793689323,0.05337053039142676,0.023599102916861122,0.9066245388960081,0.7458380068960444,0.00025
24,0.0023147631993883197,0.005557664491498486,0.054805939492635104,0.01953271221716869,0.9060732080267054,0.7442473291841114,0.00025
25,0.0023126900834122555,0.0057216764785277836,0.05494461144057988,0.01951998005387472,0.907115856416161,0.7384111134609299,0.000125
26,0.002292540707866312,0.005737157063133586,0.05822643652735942,0.015815028710852386,0.9090707649796921,0.7367179258924457,0.000125
27,0.002284672407966189,0.0058469639374210715,0.058180838572681505,0.014737901771081034,0.9094553434511545,0.7314704747899332,0.000125
28,0.0022862167302758743,0.005667287664740085,0.061114983501834676,0.0173588944313068,0.9105633384229478,0.7375063815434384,0.000125
29,0.002287151570232862,0.005657223093200386,0.0604565545346535,0.018863351614572397,0.9102162314862722,0.7356516045217649,0.000125
30,0.0022798035119062803,0.005777843758607383,0.061318508379095076,0.014363275273964235,0.9109955810079094,0.7329718984498248,0.000125
31,0.0022761598301010246,0.00572936834334285,0.06300435439900119,0.015509756499431947,0.9114791657122256,0.7319499820305652,6.25e-05
32,0.002267678146768694,0.005736500967230087,0.06264293554218447,0.01878936246561197,0.9118275352047689,0.7369832070156399,6.25e-05
33,0.0022682998204100343,0.005829507380529821,0.06327029173453994,0.017141606776130126,0.9120671970865202,0.7302798603150992,6.25e-05
34,0.002257352940797345,0.0057961248385388535,0.06476336117408996,0.01571173987085324,0.9123289940149,0.7312338927936323,6.25e-05
35,0.002272776230699866,0.005847186373167059,0.06371493520652803,0.015100485667751533,0.9121952157190045,0.7288042903474596,6.25e-05
36,0.002259518320950569,0.005834195738271655,0.06511953184403142,0.015371452919029496,0.9127077507993656,0.7290863151201172,6.25e-05
37,0.0022722142457225394,0.005801317986284287,0.06569590664663574,0.016930596437336895,0.9125542904245927,0.7310676237136002,3.125e-05
38,0.002265902578182837,0.005781944540580513,0.06541456402361571,0.01740568983147764,0.9128125043342867,0.7346125169179032,3.125e-05
