epoch,train_loss,val_loss,train_aupr,val_aupr,train_auroc,val_auroc,lr
1,0.003324416654114524,0.0031587090920065486,0.02114062628007715,0.011093520408377829,0.8542602004016889,0.784422541694741,0.001
2,0.002923998779205741,0.003180660640695181,0.03006143216477137,0.009831588014035521,0.8644408352284797,0.762367733738599,0.001
3,0.0028030671665304797,0.003215997179986888,0.030545258381359738,0.008230182908070018,0.865169458235541,0.7618803516407833,0.001
4,0.002757725088484604,0.003172624524165395,0.032732633350283855,0.008659951635447336,0.8683303021755938,0.7815996310311237,0.001
5,0.002721265780884757,0.0031344684800547872,0.03799477558125491,0.00975441877997198,0.878232685092082,0.7829951459325761,0.001
6,0.0027028230232733594,0.0032094123194952575,0.037642133721971165,0.008457398945791563,0.8759985512249243,0.7658551755884593,0.001
7,0.0026846324525187037,0.0031215433287242467,0.03684607455422874,0.010439018355212035,0.8797662611720298,0.787707819184023,0.001
8,0.002686356881273164,0.0031609006530355544,0.04029420701419215,0.009001902286379754,0.8856865443662418,0.7768217317400503,0.001
9,0.0026614817360340218,0.0031469423380798747,0.04146601454690899,0.009839558287324173,0.8864358509836282,0.7856571722502069,0.001
10,0.002652778590911238,0.0031596013032897103,0.043642739770670784,0.010267155456797534,0.8854532341424226,0.7798749039839676,0.001
11,0.0026430367587081697,0.003222508287029029,0.042818570922476,0.009022331444454698,0.8881330418127051,0.7845915515326006,0.001
12,0.0026409412252524763,0.0034278389913393777,0.04475448888018307,0.006468214435559906,0.8882991326598764,0.7744143965475898,0.001
13,0.0026220396258043793,0.003177639524230934,0.047067500042330346,0.01052659384421588,0.8916966524561811,0.780359829172049,0.0005
14,0.002575012987422868,0.003134903660452883,0.05279156925555669,0.011016281891385845,0.8993589846779497,0.7927982059448567,0.0005
15,0.0025602714987992964,0.0031480008290227022,0.05282659540962728,0.010870361261134352,0.8993495193024447,0.7922687143797227,0.0005
16,0.0025493378471162843,0.0031309345585914653,0.05542241985124846,0.011501857851166248,0.900655650636315,0.7912365646348088,0.0005
17,0.002551250840019052,0.0030817938283987482,0.055545147210224584,0.010593803231661281,0.9012234786635142,0.7990095626857916,0.0005
18,0.0025379672412891067,0.003112994284740558,0.05812450514352749,0.011578533422209852,0.9032013353627939,0.796406476649923,0.0005
19,0.002525776107255338,0.0031145437425375636,0.058549436011748925,0.010922319188536908,0.9033853909688085,0.7954391008732447,0.0005
20,0.00252832412496629,0.003127510763080486,0.05946877153649738,0.012399778557394821,0.9055557610916247,0.7979798226779451,0.0005
21,0.002517473665546349,0.0031320086888655817,0.06109683701664694,0.010692919176677139,0.9063489904984341,0.8026475325157261,0.0005
22,0.002512980013322803,0.0031238354047786097,0.06194746241442637,0.013088698198232015,0.905968946851722,0.7988270064304207,0.0005
23,0.002514966957744734,0.003127600283207821,0.05936861891560943,0.014305842790012572,0.9059640773661051,0.7970692467232686,0.00025
24,0.002480108789998983,0.0031226605542672534,0.0676084636790305,0.012524738455192764,0.90934948864806,0.7977522381464915,0.00025
25,0.002481482969570349,0.0030728430772567986,0.06870024955983638,0.013030680367588088,0.9111424214272072,0.8008235659705816,0.00025
26,0.0024695805764684076,0.0030918388283929215,0.06961705082155577,0.014164353853554058,0.9105975472231347,0.7980809294273317,0.00025
27,0.002469108766741283,0.0030788563320824124,0.07113788232408366,0.015484777131876229,0.9121217884241548,0.8009401728721,0.00025
28,0.002462977452897163,0.0030862445845940612,0.0747541405474446,0.01554498597546085,0.9129086705072453,0.7999778209844464,0.00025
29,0.0024576816572804564,0.0030845427394304925,0.0728237878484828,0.013879569986027128,0.9127536765343729,0.8023999644632576,0.00025
30,0.002451307064970718,0.003093153440492881,0.07450955609121547,0.014396125825501982,0.9135549614806501,0.8027165087823711,0.00025
31,0.002449768583979439,0.0030896046936062936,0.07717069742232577,0.01272270232956937,0.9143363254829202,0.8058926287204493,0.000125
32,0.002431158565867831,0.0030923182227254944,0.0792813654178149,0.013505383245872806,0.9159403562373583,0.8061299838905343,0.000125
33,0.0024229793323702667,0.003099042592146515,0.0796373204045637,0.013370918539836362,0.9162899122486068,0.8020654218061942,0.000125
34,0.002425521819026238,0.003099608432758445,0.08119829848959496,0.0149679779944941,0.9162229847398002,0.8027139476996642,0.000125
35,0.0024283323960324703,0.003093383014784874,0.07899940547577441,0.014040076872169191,0.9163849199448466,0.8034661433907555,0.000125
36,0.002424032875930702,0.003099341746503227,0.08096144906855557,0.013652476820411623,0.9165659604902912,0.8052668754319248,0.000125
37,0.0024272920669869626,0.0030820357798357024,0.08344946493348253,0.014097554680174821,0.916794723096293,0.8054611324742142,6.25e-05
38,0.0024070103804808528,0.0030895892768336135,0.08438687618320911,0.015273041483480278,0.9180705715784302,0.8040202630190665,6.25e-05
39,0.0024115507949954936,0.0030942397472163235,0.08390066873504241,0.014430172702874455,0.9182416860902679,0.8045652586673879,6.25e-05
40,0.002408304557099476,0.0030948257696590546,0.08434571940315364,0.01389893411379653,0.9179388382317101,0.8075391493824706,6.25e-05
41,0.0023994712784370926,0.0031096430734633344,0.0852860618083708,0.014126001804923356,0.9184714710922453,0.8051862435855002,6.25e-05
42,0.002396330623039227,0.0031085820751115033,0.08475208427565742,0.014102076963507938,0.9184786528424407,0.8056336900897303,6.25e-05
43,0.002407539108488291,0.00309938060838557,0.08603611144298022,0.015030024875748074,0.9188154204806808,0.80508759178032,3.125e-05
